Arquivo,Linha,String em Inglês,Tradução Proposta,Contexto,Tipo,Prioridade
DashboardPage.tsx,42,Draft,Rascunho,Status Badge,Label,HIGH
DashboardPage.tsx,43,Processing,Processando,Status Badge,Label,HIGH
DashboardPage.tsx,44,Review,Revisão,Status Badge,Label,HIGH
DashboardPage.tsx,45,Approved,Aprovado,Status Badge,Label,HIGH
DashboardPage.tsx,46,Archived,Arquivado,Status Badge,Label,HIGH
DashboardPage.tsx,52,Purchase & Sale,Compra e Venda,Act Type Label,Label,HIGH
DashboardPage.tsx,53,Donation,Doação,Act Type Label,Label,HIGH
DashboardPage.tsx,54,Exchange,Permuta,Act Type Label,Label,HIGH
DashboardPage.tsx,55,Lease,Locação,Act Type Label,Label,HIGH
DashboardPage.tsx,198,Cases,Casos,Page Title,Heading,HIGH
DashboardPage.tsx,201,Manage your document cases and drafts,Gerencie seus casos de documentos e minutas,Subtitle,Description,HIGH
DashboardPage.tsx,210,Start Purchase/Sale Flow,Iniciar Fluxo de Compra e Venda,Primary Button,Button,HIGH
DashboardPage.tsx,215,New Case,Novo Caso,Secondary Button,Button,HIGH
DashboardPage.tsx,228,Search cases by title...,Buscar casos por título...,Search Input,Placeholder,HIGH
DashboardPage.tsx,237,Clear search,Limpar busca,Clear Button,Aria Label,MEDIUM
DashboardPage.tsx,248,All Status,Todos os Status,Filter Option,Select Option,MEDIUM
DashboardPage.tsx,279,Failed to load cases,Falha ao carregar casos,Error Title,Heading,MEDIUM
DashboardPage.tsx,282,An unexpected error occurred,Um erro inesperado ocorreu,Error Message,Error Message,MEDIUM
DashboardPage.tsx,287,Try Again,Tentar Novamente,Retry Button,Button,MEDIUM
DashboardPage.tsx,308,No cases found,Nenhum caso encontrado,Empty State Title (Search),Heading,HIGH
DashboardPage.tsx,309,No cases yet,Nenhum caso ainda,Empty State Title (Initial),Heading,HIGH
DashboardPage.tsx,312,No cases match "{query}". Try a different search term.,Nenhum caso corresponde a "{query}". Tente um termo de busca diferente.,Empty State Description,Description,HIGH
DashboardPage.tsx,313,Get started by creating a new case to manage your notary documents and drafts.,Comece criando um novo caso para gerenciar seus documentos e minutas notariais.,Empty State Description,Description,HIGH
DashboardPage.tsx,319,Clear Search,Limpar Busca,Empty State Button,Button,MEDIUM
DashboardPage.tsx,328,Start Purchase/Sale Flow,Iniciar Fluxo de Compra e Venda,Empty State Button,Button,HIGH
DashboardPage.tsx,333,Create Case Manually,Criar Caso Manualmente,Empty State Button,Button,HIGH
DashboardPage.tsx,371,More options,Mais opções,Menu Button Aria Label,Aria Label,LOW
DashboardPage.tsx,389,Duplicate Case,Duplicar Caso,Menu Item,Menu Item,HIGH
DashboardPage.tsx,397,Delete Case,Deletar Caso,Menu Item,Menu Item,HIGH
DashboardPage.tsx,409,Created,Criado,Date Label,Label,MEDIUM
LoginPage.tsx,54,Minuta Canvas,Minuta Canvas,Application Title,Title,KEEP
LoginPage.tsx,57,Document Processing & Draft Generation,Processamento de Documentos e Geração de Minutas,Subtitle,Subtitle,HIGH
LoginPage.tsx,63,Sign in to your account,Faça login na sua conta,Card Title,Card Title,HIGH
LoginPage.tsx,75,Email,Email,Field Label,Label,HIGH
LoginPage.tsx,85,email@example.com,email@example.com,Field Placeholder,Placeholder,KEEP
LoginPage.tsx,91,Password,Senha,Field Label,Label,HIGH
LoginPage.tsx,101,********,••••••••,Field Placeholder,Placeholder,KEEP
LoginPage.tsx,116,Remember me,Lembrar de mim,Checkbox Label,Label,MEDIUM
LoginPage.tsx,124,Forgot password?,Esqueceu a senha?,Link Text,Link,HIGH
LoginPage.tsx,154,Signing in...,Entrando...,Loading Button Text,Button Text,MEDIUM
LoginPage.tsx,157,Sign in,Entrar,Button Text,Button Text,HIGH
LoginPage.tsx,38,An unexpected error occurred,Um erro inesperado ocorreu,Error Message,Error Message,MEDIUM
CaseOverviewPage.tsx,38,Purchase & Sale,Compra e Venda,Act Type Label,Label,HIGH
CaseOverviewPage.tsx,39,Donation,Doação,Act Type Label,Label,HIGH
CaseOverviewPage.tsx,40,Exchange,Permuta,Act Type Label,Label,HIGH
CaseOverviewPage.tsx,41,Lease,Locação,Act Type Label,Label,HIGH
CaseOverviewPage.tsx,83,Failed to update status. Please try again.,Falha ao atualizar status. Por favor, tente novamente.,Error Alert,Alert,MEDIUM
CaseOverviewPage.tsx,98,Failed to duplicate case. Please try again.,Falha ao duplicar caso. Por favor, tente novamente.,Error Alert,Alert,MEDIUM
CaseOverviewPage.tsx,137,Case Overview,Visão Geral do Caso,Page Title,Heading,HIGH
CaseOverviewPage.tsx,145,Failed to load case,Falha ao carregar caso,Error Title,Heading,MEDIUM
CaseOverviewPage.tsx,148,An unexpected error occurred,Um erro inesperado ocorreu,Error Message,Error Message,MEDIUM
CaseOverviewPage.tsx,157,Try Again,Tentar Novamente,Retry Button,Button,MEDIUM
CaseOverviewPage.tsx,174,This case is archived,Este caso está arquivado,Archive Alert Title,Alert Title,MEDIUM
CaseOverviewPage.tsx,176,Archived cases are read-only. You can unarchive this case to make changes.,Casos arquivados são somente leitura. Você pode desarquivar este caso para fazer alterações.,Archive Alert Description,Alert Description,MEDIUM
CaseOverviewPage.tsx,212,Duplicate / Duplicating...,Duplicar / Duplicando...,Button / Button State,Button,MEDIUM
CaseOverviewPage.tsx,222,Unarchive,Desarquivar,Button,Button,MEDIUM
CaseOverviewPage.tsx,232,Archive,Arquivar,Button,Button,MEDIUM
CaseOverviewPage.tsx,246,Case Information,Informações do Caso,Section Title,Card Title,HIGH
CaseOverviewPage.tsx,252,Copy link to Case Information section,Copiar link para seção Informações do Caso,Aria Label,Aria Label,LOW
CaseOverviewPage.tsx,253,Copied!,Copiado!,Tooltip,Tooltip Text,MEDIUM
CaseOverviewPage.tsx,267,Case ID,ID do Caso,Field Label,Label,MEDIUM
CaseOverviewPage.tsx,275,Act Type,Tipo de Ato,Field Label,Label,MEDIUM
CaseOverviewPage.tsx,283,Created,Criado,Field Label,Label,MEDIUM
CaseOverviewPage.tsx,291,Last Updated,Última Atualização,Field Label,Label,MEDIUM
CaseOverviewPage.tsx,299,Assigned To,Atribuído a,Field Label,Label,MEDIUM
CaseOverviewPage.tsx,322,Documents,Documentos,Section Title,Card Title,HIGH
CaseOverviewPage.tsx,324,Document management will be implemented here.,O gerenciamento de documentos será implementado aqui.,Card Description,Card Description,MEDIUM
